"dt","new_users","returning_users","new_orders","returning_orders","orders_per_new_user","orders_per_returning_user"
2019-11-22,3040,14236,4080,20107,1.3421052631578947,1.4124051699915707
2019-11-23,2775,13016,3756,18487,1.3535135135135135,1.4203288260602336
2019-11-24,3012,13434,4086,19077,1.3565737051792828,1.4200535953550693
2019-11-25,3255,14221,4426,20401,1.3597542242703533,1.4345685957386962
2019-11-26,2961,14272,3960,20266,1.337386018237082,1.4199831838565022
2019-11-27,2868,14622,3830,20613,1.3354253835425383,1.409725071809602
2019-11-28,2815,14594,3692,20613,1.3115452930728242,1.4124297656571194
2019-11-29,3509,19462,4792,27315,1.365631233969792,1.4035042647209948
2019-11-30,3143,16919,4384,23794,1.3948456888323257,1.4063478929014717
2019-12-01,3221,17379,4314,24031,1.339335610058988,1.3827608032683123
2019-12-02,2989,17323,3944,24604,1.319504851120776,1.4203082606938753
2019-12-03,2894,14337,3834,20524,1.3248099516240497,1.4315407686405803
2019-12-04,2806,14433,3852,20621,1.3727726300784033,1.4287396937573615
2019-12-05,2804,14857,3770,21699,1.3445078459343796,1.4605236588813355
2019-12-06,3013,16034,4080,23425,1.3541320942582145,1.4609579643258077
2019-12-07,3019,15621,4143,22869,1.3723087114938721,1.4639907816400999
2019-12-08,2918,15132,3971,21795,1.3608636052090473,1.440325138778747
2019-12-09,2988,15800,4063,22739,1.359772423025435,1.4391772151898734
2019-12-10,3011,15977,4133,22926,1.3726336765194287,1.434937722976779
2019-12-11,2892,15210,3976,21930,1.3748271092669433,1.4418145956607495
2019-12-12,2936,15245,3943,22101,1.3429836512261581,1.4497212200721548
2019-12-13,3012,15790,4163,22549,1.3821381142098275,1.4280557314756175
2019-12-14,3070,15654,4136,22423,1.3472312703583063,1.432413440654146
2019-12-15,3370,20030,4692,30385,1.3922848664688428,1.5169745381927109
2019-12-16,4985,36288,7054,56742,1.4150451354062186,1.5636574074074074
2019-12-17,4586,30355,6408,45491,1.3972961186218926,1.4986328446713886
2019-12-18,4626,29071,6420,43158,1.3878080415045395,1.4845722541364246
2019-12-19,4422,28278,6152,42060,1.3912256897331525,1.4873753447910036
2019-12-20,4173,27219,5747,40658,1.3771866762520968,1.4937359932400163
2019-12-21,3880,26005,5321,38934,1.3713917525773196,1.4971736204576043
2019-12-22,4068,26213,5652,39067,1.3893805309734513,1.4903673749666195
2019-12-23,4281,27240,5881,40721,1.3737444522307871,1.4948972099853157
2019-12-24,4101,26283,5700,39217,1.3899049012435991,1.4921051630331392
2019-12-25,4126,26433,5850,39099,1.4178380998545808,1.4791737600726365
