"first_touch_date","users_d0","retention_d1","retention_d7","retention_d30"
2020-01-03,67506,0.08671821763991348,0.02684205848369034,0.016917014783871063
2020-01-04,72531,0.08139967737932746,0.02904964773682977,0.014752312804180281
2020-01-05,80721,0.08054905167180783,0.028394098190062066,0.013515689845269508
2020-01-06,69221,0.07733202351887433,0.02971641553863712,0.01477875211279814
2020-01-07,69464,0.07612576298514338,0.027712196245537255,0.01567718530461822
2020-01-08,66954,0.07968157242285748,0.02854198404874989,0.019102667503061804
2020-01-09,64192,0.07832751744765704,0.031826395812562316,0.016840104685942173
2020-01-10,61937,0.08008137300805658,0.03096695028819607,0.018002163488706265
2020-01-11,75811,0.0808985503422986,0.03699990766511456,0.015907981691311288
2020-01-12,79802,0.06811859351895942,0.03758051176662239,0.01478659682714719
2020-01-13,63813,0.0776800965320546,0.03607415416921317,0.023177095576136526
2020-01-14,64093,0.07954066746758616,0.034793191144118704,0.023263070850170847
2020-01-15,65198,0.08402098223871898,0.031212613883861467,0.02089021135617657
2020-01-16,65184,0.08480608738340698,0.03166421207658321,0.01827135493372607
2020-01-17,64261,0.08437465959135401,0.02942686855168765,0.01998101492351504
2020-01-18,95172,0.08510906569158996,0.027192871853066028,0.017032320430378684
2020-01-19,100581,0.07202155476680486,0.0264562889611358,0.017617641502868334
2020-01-20,89500,0.07996648044692738,0.02630167597765363,0.019385474860335195
2020-01-21,69263,0.07857008792573235,0.029871648643575936,0.021800961552343963
2020-01-22,64923,0.08317545399935308,0.030436055019022534,0.018683671426150978
2020-01-23,58661,0.07631987180579942,0.03327594142616048,0.018086974310018582
2020-01-24,48666,0.07810380964122796,0.035671721530431924,0.01888382032630584
2020-01-25,59593,0.08668803382947661,0.03862869800144312,0.01807259241857265
2020-01-26,61194,0.07453345099192732,0.03134294211850835,0.017991959996078048
2020-01-27,55232,0.07997175550405562,0.02831691772885284,0.01955388180764774
2020-01-28,57477,0.07844877081267289,0.026601945125876436,0.0045409468135080115
2020-01-29,60208,0.07942466117459474,0.025461732660111612,0.011925325538134466
2020-01-30,69415,0.07371605560757762,0.025585248145213572,0.013066340128214364
2020-01-31,63370,0.07707116932302352,0.033675240650149915,0.0174530534953448
2020-02-01,96805,0.06939724187800217,0.024089664790041838,0.018025928412788595
2020-02-02,50030,0.07259644213471916,0.03419948031181291,0.023885668598840695
2020-02-03,48613,0.07707814782054183,0.03597803056795507,0.025692715940180612
2020-02-04,43022,0.08151643345265214,0.03254149040026033,0.025056947608200455
2020-02-05,46045,0.08066022369421218,0.03941796069062873,0.023129547182104464
2020-02-06,50558,0.08376518058467503,0.03951896831362,0.02157917639147118
2020-02-07,54652,0.07207421503330162,0.036613481665812776,0.01941374515113811
